ambiguous,atr,conviction,cost_model,decision_time,entry,exit_price,exit_reason,exit_time,fill_price,filled_at,final_stop,gross_pnl,market,mode,net_pnl,outcome_data_missing,pnl_r,portfolio,quantity,reserved_notional,risk_amount,signal_bar_end,status,stop,strategy_version,symbol,target,transaction_cost
False,0.6385858036380363,87,zero,2022-01-03 16:16:00,96.81,98.73,target,2022-01-04 14:30:00,96.62,2022-01-03 16:17:00,97.61,434.65999999999985,stock,stock_only,434.65999999999985,False,2.197916666666648,current_1pct,206,19942.86,197.76000000000164,2022-01-03 16:00:00,closed,95.85,stock_trend_momentum_v1,BKNG,98.73,0.0
False,0.6404562048298776,87,zero,2022-01-03 16:16:00,157.07,156.1,stop,2022-01-03 16:35:00,156.93,2022-01-03 16:16:00,156.1,-105.41000000000159,stock,stock_only,-105.41000000000159,False,-0.8556701030927975,current_1pct,127,19947.89,123.18999999999986,2022-01-03 16:00:00,closed,156.1,stock_trend_momentum_v1,DIS,159.01,0.0
False,2.505038892477263,92,zero,2022-01-04 16:16:00,376.54,373.76,stop,2022-01-05 14:30:00,374.22,2022-01-04 16:16:00,373.76,-24.380000000001928,stock,stock_only,-24.380000000001928,False,-0.12234042553192302,current_1pct,53,19956.620000000003,199.28000000000253,2022-01-04 16:00:00,closed,372.78,stock_trend_momentum_v1,MA,384.06,0.0
False,1.2009157274980453,87,zero,2022-01-04 16:16:00,223.18,221.92,stop,2022-01-05 14:32:00,221.88,2022-01-04 16:16:00,221.92,3.5599999999992917,stock,stock_only,3.5599999999992917,False,0.02209944751380773,current_1pct,89,19863.02,161.0900000000002,2022-01-04 16:00:00,closed,221.37,stock_trend_momentum_v1,V,226.8,0.0
False,0.3594982521614169,87,zero,2022-01-05 16:16:00,170.33,169.79,stop,2022-01-05 19:08:00,170.33,2022-01-05 16:22:00,169.79,-63.180000000002394,stock,stock_only,-63.180000000002394,False,-1.0,current_1pct,117,19928.61,63.180000000002394,2022-01-05 16:00:00,closed,169.79,stock_trend_momentum_v1,GLD,171.41,0.0
False,1.0972420758054509,87,zero,2022-01-05 16:16:00,164.83,163.18,stop,2022-01-05 19:34:00,164.83,2022-01-05 16:16:00,163.18,-199.6500000000007,stock,stock_only,-199.6500000000007,False,-1.0,current_1pct,121,19944.43,199.6500000000007,2022-01-05 16:00:00,closed,163.18,stock_trend_momentum_v1,SPG,168.13,0.0
False,0.4349258176981491,87,zero,2022-01-06 16:16:00,64.33,64.065,monitor_reversal,2022-01-19 15:30:00,64.33,2022-01-19 15:17:00,63.67,-82.41500000000018,stock,stock_only,-82.41500000000018,False,-0.40151515151515443,current_1pct,311,20006.63,205.25999999999894,2022-01-06 16:00:00,closed,63.67,stock_trend_momentum_v1,C,65.65,0.0
False,0.6498779323586253,86,zero,2022-01-06 16:16:00,48.07,48.72,stop,2022-01-10 14:30:00,48.07,2022-01-07 14:32:00,48.72,270.3999999999994,stock,stock_only,270.3999999999994,False,0.6632653061224496,current_1pct,416,19997.12,407.6799999999987,2022-01-06 16:00:00,closed,47.09,stock_trend_momentum_v1,DVN,50.03,0.0
False,0.34131865945431994,87,zero,2022-01-07 16:16:00,48.78,49.82,target,2022-01-10 14:30:00,48.775,2022-01-07 16:16:00,48.75,429.4950000000007,stock,stock_only,429.4950000000007,False,2.0096153846153757,current_1pct,411,20048.58,213.72000000000128,2022-01-07 16:00:00,closed,48.26,stock_trend_momentum_v1,BAC,49.82,0.0
False,0.15891952745430032,87,zero,2022-01-07 16:16:00,40.92,41.4,target,2022-01-10 14:30:00,40.89,2022-01-07 16:16:00,40.97,249.899999999999,stock,stock_only,249.899999999999,False,2.124999999999974,current_1pct,490,20050.8,117.60000000000097,2022-01-07 16:00:00,closed,40.68,stock_trend_momentum_v1,XLF,41.4,0.0
False,2.2906450190688825,87,zero,2022-01-10 16:16:00,364.97,363.25,stop,2022-01-10 20:06:00,364.1,2022-01-10 16:16:00,363.25,-46.75000000000125,stock,stock_only,-46.75000000000125,False,-0.24709302325581664,current_1pct,55,20073.350000000002,189.200000000003,2022-01-10 16:00:00,closed,361.53,stock_trend_momentum_v1,LMT,371.85,0.0
False,1.394643675786177,84,zero,2022-01-10 16:16:00,155.26,159.46,target,2022-01-12 14:30:00,155.26,2022-01-10 16:35:00,157.11,546.0000000000023,stock,stock_only,546.0000000000023,False,2.0000000000000138,current_1pct,130,20183.8,272.99999999999926,2022-01-10 16:00:00,closed,153.16,stock_trend_momentum_v1,COF,159.46,0.0
False,0.2872847201010258,92,zero,2022-01-11 16:16:00,35.54,35.1,stop,2022-01-24 14:30:00,35.29,2022-01-24 14:30:00,35.1,-108.1099999999987,stock,stock_only,-108.1099999999987,False,-0.4318181818181789,current_1pct,569,20222.26,250.3599999999987,2022-01-11 16:00:00,closed,35.1,stock_trend_momentum_v1,SLB,36.42,0.0
False,0.6332386405876238,81,zero,2022-01-11 16:16:00,125.7,124.75,stop,2022-01-24 14:30:00,124.45,2022-01-24 14:30:00,124.75,47.999999999999545,stock,stock_only,47.999999999999545,False,0.31578947368420657,current_1pct,160,20112.0,152.00000000000045,2022-01-11 16:00:00,closed,124.75,stock_trend_momentum_v1,CVX,127.6,0.0
False,0.8925425700496575,92,zero,2022-01-12 16:16:00,102.02,101.48,stop,2022-01-13 14:30:00,101.65,2022-01-12 16:16:00,101.48,-33.66000000000034,stock,stock_only,-33.66000000000034,False,-0.12686567164179333,current_1pct,198,20199.96,265.3199999999979,2022-01-12 16:00:00,closed,100.68,stock_trend_momentum_v1,EOG,104.7,0.0
